ticker,10-K,10-Q,8-K,Total
AAPL,0,0,0,0
ABT,0,0,0,0
AIG,0,0,0,0
AMT,0,0,0,0
APD,0,0,0,0
BA,0,0,0,0
BAC,0,0,0,0
CAT,0,0,0,0
CMCSA,0,0,0,0
COP,0,0,0,0
CSCO,0,0,0,0
CVS,0,0,0,0
CVX,0,0,0,0
DOW,0,0,0,0
DUK,0,0,0,0
F,0,0,0,0
GE,0,0,0,0
GM,0,0,0,0
GS,0,0,0,0
HD,0,0,0,0
HON,0,0,0,0
IBM,0,0,0,0
INTC,0,0,0,0
JNJ,0,0,0,0
JPM,0,0,0,0
KO,0,0,0,0
MCD,0,0,0,0
MMM,0,0,0,0
MRK,0,0,0,0
MS,0,0,0,0
MSFT,0,0,0,0
NEE,0,0,0,0
NEM,0,0,0,0
NFLX,0,0,0,0
NKE,0,0,0,0
OXY,0,0,0,0
PFE,0,0,0,0
PG,0,0,0,0
PLD,0,0,0,0
SLB,0,0,0,0
T,0,0,0,0
VZ,0,0,0,0
WMT,0,0,0,0
XOM,0,0,0,0
